Id,Nombres,Apellidos,Título,Institución,INST,Origen,País,Eje,Sitio,Ponencia,Presentó,Evaluar,Revisa,Calificativo,Puntaje,Resultado
116,Lola Patricia,Morales De la Cuba,REVISIÓN DE LA EFICIENCIA DE REMOCIÓN DE HIDROCARBUROS MEDIANTE LA TÉCNICA DE LAVADO DE SUELOS CON SURFACTANTES,Universidad Nacional de San Antonio Abad del Cusco,UNSAAC,Cusco,Perú,E5,D20_B-TT,NO,SI,SI,ATB,80,0.85,11
117,María Fernanda,Moya Ambrosio,RECARBONIZACIÓN DE SUELOS AMAZÓNICOS DEGRADADOS POR MINERÍA AURÍFERA ALUVIAL,Instituto de Investigaciones de la Amazonia Peruana,IIAP,Madre de Dios,Perú,E5,D20_B-TT,SI,NO,NO,,,,
118,Francisco Antonio,Cahui Azorza,EFECTO DE LA CONCENTRACIÓN DE ALPERUJO E INOCULACIÓN CON Bacillus subtilis EN LA CALIDAD Y RENDIMIENTO DEL COMPOST,Instituto Nacional de Innovación Agraria,INIA,Tacna,Perú,E5,D20_B-TT,SI,SI,NO,,,,
119,Edwin,Becerra Lira,"RIESGOS ECOLÓGICOS POR METALES PESADOS EN SUELOS DE ÁREAS DEGRADADAS POR LA MINERAS AURÍFERA, MADRE DE DIOS",Instituto de Investigaciones de la Amazonia Peruana,IIAP,Madre de Dios,Perú,E5,D20_B-TT,NO,SI,SI,GL,90,0.9,8
121,Mari Carmen,Fernandez Angulo,INFLUENCIA DE MODELOS DE RESTAURACIÓN ECOLÓGICA SOBRE LA FERTILIDAD DEL SUELO,Universidade Estadual Paulista Júlio de Mesquita Filho,UNESP,Botucatu,Brasil,E5,D20_B-TT,NO,SI,SI,GL,80,0.93,5
122,Pedro Antonio,Torres Herrera,COBERTORES VEGETALES: UNA ALTERNATIVA SOSTENIBLE PARA INCREMENTAR LA PRODUCTIVIDAD Y RESILIENCIA DEL CULTIVO DE PAPAYA (Carica papaya L.),Instituto Nacional de Innovación Agraria,INIA,Cajamarca,Perú,E5,D20_B-TT,NO,SI,SI,GL,80,0.76,
123,Daniel,Tineo Flores,"METABARCODING, UNA HERRAMIENTA CLAVE PARA REVELAR MICROORGANISMOS CON POTENCIAL BIOTECNOLÓGICO PARA RESTAURAR SUELOS DEGRADADOS",Instituto Nacional de Innovación Agraria,INIA,Cajamarca,Perú,E5,D20_B-TT,SI,NO,NO,,,,
124,Guillermo Carlos,Terreros Millan,"FITORREMEDIACIÓN DE SUELOS URBANOS CONTAMINADOS CON PLOMO USANDO Medicago sativa L., ENMIENDAS ORGÁNICAS Y MICROORGANISMOS EFICACES",Universidad Nacional Agraria La Molina,UNALM,Lima,Perú,E5,D20_B-TT,NO,SI,SI,GL,70,,
125,Dennis,Ccopi Trucios,RIESGO ECOLÓGICO Y CARCINOGÉNICO DE ELEMENTOS TÓXICOS EN SUELOS DEL LAGO JUNÍN MEDIANTE TELEDETECCIÓN Y APRENDIZAJE AUTOMÁTICO,Instituto Nacional de Innovación Agraria,INIA,Junín,Perú,E6,D21_A-TM,SI,NO,NO,,,,
126,Christ Jesús,Barriga Paria,APLICACIÓN DE GEOTEXTILES PARA EL CONTROL DE ESCORRENTÍA SUPERFICIAL EN PILAS DE DESMONTE: UNA SOLUCIÓN PRÁCTICA PARA LA REHABILITACIÓN DE SUELOS MINEROS,Universidad Nacional de Moquegua,UNAM,Moquegua,Perú,E6,D21_A-TM,NO,SI,SI,SPM,80,0.85,11
127,Ricardo,Flores Marquez,CONSTRUCCIÓN DE MAPAS PARLANTES PARA LA IDENTIFICACIÓN DE SERVICIOS ECOSISTÉMICOS EN SISTEMAS DE COSECHA DE AGUA DE LLUVIA,Instituto Nacional de Innovación Agraria,INIA,Lima,Perú,E6,D21_A-TM,NO,SI,SI,SPM,80,0.85,11
128,Esthefany Irene,Gavino Lulo,ESTRÉS HÍDRICO MODERADO DURANTE LA FLORACIÓN MEJORA EL RENDIMIENTO AGRONÓMICO DE QUINUA (Chenopodium quinoa Willd.),Instituto Nacional de Innovación Agraria,INIA,Junín,Perú,E6,D21_A-TM,NO,SI,SI,SPM,80,0.45,21
129,Angel James,Medina Medina,"ESTIMACIÓN DE BIOMASA AÉREA EN PASTURAS ALTOANDINAS USANDO LiDAR E IMÁGENES MULTIESPECTRALES EN AMAZONAS, PERÚ",Universidad Nacional Toribio Rodríguez de Mendoza,UNTRM,Amazonas,Perú,E6,D21_A-TM,NO,NO,SI,CAR,80,0.9,8
130,Rodrigo Julio,Puga Calderon,"DETERMINACIÓN DE LA INFRAESTRUCTURA VERDE BASADO EN SERVICIOS ECOSISTÉMICOS EN LA SUBCUENCA DEL RÍO QUIROZ, AYABACA, PERÚ",Instituto Nacional de Innovación Agraria,INIA,Lima,Perú,E6,D21_A-TM,NO,SI,SI,CAR,80,0.94,4
131,Tomás Daniel,Samaniego Vivanco,EVALUACIÓN DE LA CALIDAD DEL SUELO: UN ESTUDIO COMPARATIVO ENTRE ENFOQUES DE PCA Y OPINIÓN DE EXPERTOS,Instituto Nacional de Innovación Agraria,INIA,Lima,Perú,E6,D21_A-TM,SI,NO,NO,,,,
132,Roy Collins,Cardenas Rengifo,POTENCIAL DE Eucalyptus globulus Y Pinus radiata COMO SUMIDEROS DE CARBONO EN EL ENTORNO DEL PARQUE NACIONAL HUASCARÁN-PERÚ,Universidad de Salamanca,USAL,Salamanca,España,E6,D21_A-TM,NO,NO,SI,CAR,70,0.75,15
133,Azucena,Chávez Collantes,INFILTRACIÓN DEL AGUA EN ECOSISTEMAS ALTOANDINOS DEL PERÚ: ROL DEL SUELO Y LA COBERTURA VEGETAL,Instituto Nacional de Innovación Agraria,INIA,Cajamarca,Perú,E6,D21_B-TM,NO,SI,SI,CLO,70,0.85,11
134,Fredy,Flores Galindo,GESTIÓN DEL AGUA EN EL CULTIVO DE LA QUINUA: CUANTIFICACIÓN DE LA HUELLA HÍDRICA Y PROYECCIONES CLIMÁTICAS,Instituto Nacional de Innovación Agraria,INIA,Ayacucho,Perú,E6,D21_B-TM,NO,SI,SI,CLO,70,0.85,11
135,Ricky Rodny,Reginaldo Quispe,EFECTO DE TRES LÁMINAS DE RIEGO POR GOTEO EN EL CULTIVO DE QUINUA EN AYACUCHO (Chenopodium quinoa W.),Instituto Nacional de Innovación Agraria,INIA,Ayacucho,Perú,E6,D21_B-TM,SI,NO,NO,,,,
136,María Fernanda,Moya Ambrosio,CARBONO ORGÁNICO DEL SUELO DEL ÁREA DE CONSERVACIÓN PRIVADA TILACANCHA BASADO EN LOS FACTORES DE FORMACIÓN DEL SUELO,Instituto de Investigaciones de la Amazonia Peruana,IIAP,Madre de Dios,Perú,E6,D21_B-TM,NO,SI,SI,CLO,70,0.9,8
137,Karina Rocío,Gonzales Aguilar,"COMPARACIÓN DEL MANEJO Y DEL CRECIMIENTO VEGETATIVO EN DOS JARDINES VERTICALES, CON DIFERENTES SUSTRATOS",Universidad Nacional Agraria La Molina,UNALM,Lima,Perú,E6,D21_B-TM,NO,SI,SI,SGB,70,0.75,15
138,Leivi Tatiana,Condori Ataupillco,EFECTO DE LA HUELLA HÍDRICA DE LA QUINUA SEGÚN FECHA DE SIEMBRA EN LA CUENCA DEL RÍO HUATATAS,Instituto Nacional de Innovación Agraria,INIA,Ayacucho,Perú,E6,D21_B-TM,NO,SI,SI,SGB,70,0.85,11
139,Yanet,Mendez Rojas,"CARBONO ORGÁNICO DEL SUELO BAJO DIFERENTES CONDICIONES DE CAMPO, EDAD Y GENÉTICA DE Theobroma cacao L. EN AYACUCHO",Instituto Nacional de Innovación Agraria,INIA,Cusco,Perú,E6,D21_B-TM,NO,NO,SI,SGB,70,0.85,11
140,Elgar,Barboza Castillo,INTEGRACIÓN DE DATOS ÓPTICOS Y RADAR DE SENTINEL PARA EL MAPEO MULTITEMPORAL DE SISTEMAS CAFETALEROS EN PERÚ,Universidad Nacional Toribio Rodríguez de Mendoza,UNTRM,Amazonas,Perú,E7,D21_A-TT,NO,SI,SI,FMV,70,0.45,21
141,Ludwin Cristian,Olivera Tacora,FORTALECIENDO CAPACIDADES PARA LA INNOVACIÓN: ADOPCIÓN DE TECNOLOGÍAS EN PRODUCTORES DE AVENA FORRAJERA DE SAN MARTÍN PUNO,Instituto Nacional de Innovación Agraria,INIA,Puno,Perú,E7,D21_A-TT,NO,SI,SI,FMV,70,0.9,8
142,Eyner Marconi,Aguilar Chuquitarqui,EFECTO DE LA TRANSFERENCIA DE TECNOLOGÍA EN LA ADOPCIÓN DE ENMIENDAS ORGÁNICAS EN PRODUCTORES DE PALTO EN MOQUEGUA,Instituto Nacional de Innovación Agraria,INIA,Moquegua,Perú,E7,D21_A-TT,SI,NO,NO,,,,
143,Suleyka Fanny,Aguirre Machaca,INNOVACIÓN Y APRENDIZAJE DEL AGRICULTOR EN EL MANEJO DE ABONOS ORGÁNICOS MEDIANTE METODOLOGÍAS PARTICIPATIVAS,Instituto Nacional de Innovación Agraria,INIA,Arequipa,Perú,E7,D21_A-TT,NO,SI,SI,FMV,60,0.6,19
144,Jack Steven,Fustamante Dávila,LA LUFFA: ESTRATEGIA EDUCATIVA DESDE EL SUELO PARA VALORAR LA TIERRA Y SUSTITUIR PLÁSTICOS EN MOYOBAMBA,Institución Educativa Particular Señor Del Perdón,SRDELPERDON,San Martín,Perú,E7,D21_A-TT,NO,SI,SI,FMV,60,0.75,15
145,Nene Nehemias,Granados Dominguez,ADOPCIÓN DE TECNOLOGÍAS EN PRODUCTORES DE CAFÉ EN LA PRODUCCIÓN DE ABONOS ORGÁNICOS EN PICHANAKI,Instituto Nacional de Innovación Agraria,INIA,Junín,Perú,E7,D21_A-TT,NO,SI,SI,FMV,60,0.85,11
146,Jhon Teodoro,Ramos Gonzales,ADOPCIÓN DE PRÁCTICAS SOSTENIBLES Y MÉTODOS INNOVADORES EN EL USO DE ABONOS ORGÁNICOS EN EL DISTRITO DE PICHANAKI,Instituto Nacional de Innovación Agraria,INIA,Junín,Perú,E7,D21_A-TT,NO,SI,SI,FMV,60,0.85,11
147,Teodoro Bill,Yalli Huamani,"PERCEPCIÓN SOBRE LA DEGRADACIÓN DEL SUELO POR SOBREPASTOREO Y ESTRATEGIAS DE MANEJO SUSTENTABLE EN LA COMUNIDAD GANADERA DE VICCO, PASCO",Instituto Nacional de Innovación Agraria,INIA,Lima,Perú,E7,D21_B-TT,NO,SI,SI,JOR,60,0.45,21
148,Cristian Zoilo,Sánchez Pariona,DETERMINANTES DE CONTINUIDAD EN LA AGRICULTURA AGROECOLÓGICA TRADICIONAL EN APURÍMAC: APRENDIZAJES PARA LA EXTENSIÓN Y CONSERVACIÓN DE SUELOS,Instituto Nacional de Innovación Agraria,INIA,Apurímac,Perú,E7,D21_B-TT,NO,NO,SI,JOR,60,0.9,8
149,Jesus Leonardo,Vivanco Enriquez,ESTRATEGIA DE FORTALECIMIENTO DE CAPACIDADES Y EXTENSIÓN DEL CONOCIMIENTO EN CIENCIAS DEL SUELO APLICADO EN FISCALIZACIÓN AMBIENTAL (2018-2025),Pontificia Universidad Católica del Perú,PUCP,Lima,Perú,E7,D21_B-TT,NO,SI,SI,JOR,60,0.96,2
150,Soledad,Medrano Damián,"TRANSFERENCIA DE TECNOLOGÍA HORTÍCOLA MEDIANTE ESCUELAS DE CAMPO PARA EL FORTALECIMIENTO DE CAPACIDADES DE MUJERES RURALES - CHACHAPOYAS, PERÚ",Instituto Nacional de Innovación Agraria,INIA,San Martín,Perú,E7,D21_B-TT,NO,NO,SI,JOR,60,0.75,15
152,Mariacne,Gonzales Guanilo,APLICACIÓN DE BIOCHAR DE RESIDUOS DEL ASERRÍO DE Pinus tecunumanii EN LA PRODUCCIÓN DE PLÁNTULAS DE LA MISMA ESPECIE,Universidad Nacional Agraria La Molina,UNALM,Lima,Perú,E7,D21_B-TT,NO,NO,SI,JOR,50,0.87,
