Id,Nombres,Apellidos,Título,Institución,INST,Origen,País,Eje,Sitio,Ponencia,Presentó,Evaluar,Revisa,Calificativo,Puntaje,Resultado
53,Piere Alexander,Quispe Caceres,EFECTO DE LAS ENMIENDAS ORGÁNICAS EN LA RESPUESTA DEL MAÍZ BAJO ESTRÉS SALINO POR AGUA DE RIEGO,Universidad Nacional Agraria La Molina,UNALM,Lima,Perú,E3,D19_B-TT1,NO,SI,SI,JSCH,90,0.71,17
54,Diego Ricardo,Huayama Rondoy,ANÁLISIS COMPARATIVO DE LA LIBERACIÓN DE POTASIO EN FERTILIZANTES MINERALES Y ORGANOMINERALES: EFECTO DEL BIOCHAR EN DISPONIBILIDAD NUTRIMENTAL,Abonos Vivos S.A.C,Abonos Vivos,Lima,Perú,E3,D19_B-TT1,NO,SI,SI,JSCH,90,0.85,11
55,Luz Aleida,Choquechambi Apaza,BIOFERTILIZANTES Y TECNOLOGÍAS DE RIEGO PARA MAXIMIZAR LA PRODUCCIÓN DE QUINUA EN DIFERENTES ALTITUDES DEL ALTIPLANO DE PUNO,Instituto Nacional de Innovación Agraria,INIA,Puno,Perú,E3,D19_B-TT1,NO,SI,SI,JSCH,90,0.9,8
56,Andres Alberto,Azabache Leyton,EFECTO DE GRANULOMETRÍA DEL BIOCHAR EN PROPIEDADES FISICOQUÍMICAS DE UN ENTISOL Y CRECIMIENTO DE MAÍZ,Universidad Nacional del Centro del Perú,UNCP,Junín,Perú,E3,D19_B-TT1,NO,SI,SI,JSCH,90,0.95,3
57,Rosa Karen,Arroyo Isuiza,MAPEO DIGITAL DE PROPIEDADES DEL SUELO CON ALTA PREDICTIBILIDAD ESPACIAL EN LA EEA PICHANAKI,Instituto Nacional de Innovación Agraria,INIA,Lima,Perú,E3,D19_B-TT1,NO,SI,SI,JSCH,90,0.75,15
58,Alexandra Yadira,Alvárez Duran,EFECTO DE TRES ESPECIES DE SOMBRA EN LAS PROPIEDADES FISICOQUÍMICAS DEL SUELO Y RENDIMIENTO DE CAFÉ (Coffea arabica),Instituto Nacional de Innovación Agraria,INIA,Pasco,Perú,E3,D19_B-TT1,NO,SI,SI,JSCH,90,0.85,11
59,Luis Felipe,Solis Rosas Diaz,RESPUESTA DE MICROORGANISMOS EFICACES Y MELAZA EN EL CULTIVO DE CEBOLLA (Allium cepa L.),Universidad Nacional San Luis Gonzaga,UNICA,Ica,Perú,E3,D19_B-TT1,NO,SI,SI,PSG,80,0.45,21
60,Nestor Edwin,Cuellar Condori,RESPUESTA FENOLÓGICA DE LA QUINUA (Chenopodium quinoa willd.) EN SECANO AL LIXIVIADO DE VERMICOMPOST E HIDROLIZADO DE PESCADO,Instituto Nacional de Innovación Agraria,INIA,Puno,Perú,E3,D19_B-TT1,NO,SI,SI,PSG,80,0.9,8
61,Ruth Lizbeth,Mercado Chinchay,ZONIFICACIÓN DE LA FERTILIDAD POTENCIAL DEL SUELO EN CULTIVOS DE BANANO Y MANGO DEL NOROESTE ÁRIDO PERUANO,Instituto Nacional de Innovación Agraria,INIA,Lima,Perú,E3,D19_B-TT1,NO,SI,SI,PSG,80,0.85,11
62,Rocio Elaine,Palacios Palacios,CONTROL DE CADMIO EN TOMATE (Solanum lycopersicum) BAJO CONDICIONES DE INVERNADERO EMPLEANDO UNA ENMIENDA PREPARADA EN LABORATORIO,Universidad Nacional Agraria La Molina,UNALM,Lima,Perú,E3,D19_B-TT1,NO,NO,SI,PSG,80,0.75,15
63,Geomar,Vallejos Torres,DISTRIBUCIÓN GEOESPACIAL DEL CADMIO EN SUELOS CON CACAO EN EL DEPARTAMENTO DE LORETO,Instituto Nacional de Innovación Agraria,INIA,San Martín,Perú,E3,D19_B-TT1,NO,SI,SI,PSG,80,0.45,21
64,Evelyn Ines,Vicente Flores,VARIACIÓN ESPACIAL DE PROPIEDADES DE SUELOS CAFETALEROS EN LA SELVA PERUANA: UN ENFOQUE GEOESTADÍSTICO PARA FERTILIZACIÓN DE PRECISIÓN,Instituto Nacional de Innovación Agraria,INIA,Junín,Perú,E3,D19_B-TT1,NO,SI,SI,PSG,80,0.6,19
65,Susan Milagros,Alarcón Romani,EFECTO ASOCIATIVO DE AZOSPIRILLUM Y RHIZOBIUM EN LA PRODUCCIÓN DE ARVEJA VERDE (Pisum sativum L.),Instituto Nacional de Innovación Agraria,INIA,Ayacucho,Perú,E3,D19_A-TT2,NO,SI,SI,AAL,80,0.75,15
66,Jhon,Chávez Sánchez,CAPACIDAD DE CEPAS NATIVAS DE RIZOBIOS SOBRE LA GERMINACIÓN DEL CULTIVO DE ÑUÑA (Phaseolus vulgaris),Instituto Nacional de Innovación Agraria,INIA,Cajamarca,Perú,E3,D19_A-TT2,NO,SI,SI,AAL,80,0.85,11
67,Julissa,Espinoza Dávila,EFECTO DE LA FERTILIZACIÓN ORGANOMINERAL EN EL RENDIMIENTO DEL CULTIVO DE PAPA (Solanum tuberosum) VAR UNICA EN JUNIN-JAUJA,Universidad Científica Del Sur,Científica,Lima,Perú,E3,D19_A-TT2,NO,SI,SI,AAL,80,0.45,21
68,Juan Fernando,García Herrera,EFECTO DE LA APLICACIÓN DE Bacillus subtilis EN EL RENDIMIENTO DE ARROZ (Oryza sativa L.) EN LAMBAYEQUE,Universidad Nacional Agraria La Molina,UNALM,Lima,Perú,E3,D19_A-TT2,NO,SI,SI,AAL,80,0.9,8
69,Juan Carlos,Paredes Jacinto,FERTILIZACIÓN DE Spinacia oleracea L. CON BACTERIAS ENDÓFITAS Y GALLINAZA EN LA SIERRA NORTE DEL PERÚ,Universidad Nacional de Trujillo,UNT,La Libertad,Perú,E3,D19_A-TT2,SI,NO,NO,,,,
70,Jimmy Alcides,Ocaña Reyes,INFLUENCIA DE LA LABRANZA Y ENCALADO SOBRE EL SUELO Y RENDIMIENTO DE MAÍZ FORRAJERO,Instituto Nacional de Innovación Agraria,INIA,Pucallpa,Perú,E3,D19_A-TT2,NO,SI,SI,AAL,60,0.85,11
71,Russell Hilario,Poma Chamana,MAPEO DE LA FERTILIDAD DE SUELOS EN VALLES ÁRIDOS DEL SUR DE PERÚ USANDO KRIGING DE REGRESIÓN MULTIVARIADO,Instituto Nacional de Innovación Agraria,INIA,Arequipa,Perú,E3,D19_A-TT2,NO,SI,SI,AAL,60,0.75,15
72,Claudio Carlos,Palomino Espinoza,"EFECTO DE MOB’S, EM Y BIOL EN EL RENDIMIENTO Y CALIDAD DEL CULTIVO DE QUINUA VAR. PASANKALLA",Instituto Nacional de Innovación Agraria,INIA,Ayacucho,Perú,E3,D19_A-TT2,NO,SI,SI,DTF,60,0.85,11
73,Katherine,Puma Huacani,CALIDAD DE SUELOS EN OLIVARES DEL SUR PERUANO: LIMITACIONES POR SALINIDAD Y MATERIA ORGÁNICA; PROPUESTAS DE MANEJO SOSTENIBLE,Instituto Nacional de Innovación Agraria,INIA,Arequipa,Perú,E3,D19_A-TT2,NO,SI,SI,DTF,60,0.94,4
74,Ruddy Adely,Ore Valeriano,OBTENCIÓN Y CARACTERIZACIÓN DE BIOFERTILIZANTE DE ESTIÉRCOL DE CUY CON BACILLUS SUBTILIS PARA SU POTENCIAL APLICACIÓN EN FRESA,Instituto Nacional de Innovación Agraria,INIA,Lima,Perú,E3,D19_A-TT2,NO,SI,SI,DTF,60,0.45,21
75,Kiary Hellen,Macahuachi Natorre,VARIACIÓN ESPACIAL DE LA FERTILIDAD DEL SUELO EN LA EEA PUCALLPA,Instituto Nacional de Innovación Agraria,INIA,Pucallpa,Perú,E3,D19_A-TT2,NO,SI,SI,DTF,60,0.6,19
76,Nilton Alexander,Hermoza Ayme,DETERMINANTES DE LA CALIDAD DEL COMPOST EN ZONAS AGROECOLÓGICAS DEL PERÚ: EL ROL DEL RESIDUOS Y EL CLIMA,Instituto Nacional de Innovación Agraria,INIA,Lima,Perú,E3,D19_A-TT2,NO,SI,SI,DTF,60,0.75,15
77,Jimmy Roger,Gabriel Albiño,EVALUACIÓN DE DOS FUENTES DE ABONAMIENTO ORGÁNICO EN PAPA (SOLANUM TUBEROSUM L.) VARIEDAD YUNGAY EN JUNÍN - PERÚ,Instituto Nacional de Innovación Agraria,INIA,Junín,Perú,E3,D19_A-TT2,NO,NO,SI,HHY,60,0.85,11
78,Sergio Waldyr,Copa Vizcarra,EFECTO DE ÁCIDOS HÚMICOS DE LEONARDITA PERUANA EN EL RENDIMIENTO DE LECHUGA (Lactuca sativa L.) EN MOQUEGUA,Instituto Nacional de Innovación Agraria,INIA,Moquegua,Perú,E3,D19_A-TT2,NO,SI,SI,HHY,60,0.45,21
79,Cesar Oswaldo,Arévalo-Hernández,"MODELAMIENTO DE LA NUTRICIÓN DE TECA (Tectona grandis) CON VARIABLES EDAFOCLIMÁTICAS, IMÁGENES SATELITALES Y MACHINE LEARNING ",Universidade Federal de Viçosa,UFV,Viçosa,Brasil,E3,D19_B-TT2,SI,NO,NO,,,,
80,Luisa Madolyn,Alvárez Benaute,SUSTRATOS ORGÁNICOS: SU EFECTO EN LA BIOMETRÍA DE LA ESPINACA VARIEDAD FLAMINGO BAJO MODELOS DE AGRICULTURA URBANA,Universidad Nacional Hermilio Valdizán,UNHEVAL,Huánuco,Perú,E3,D19_A-TT2,NO,NO,SI,HHY,50,0.6,19
81,Shirley Virginia,Zevallos Ramírez,BIOFORTIFICACIÓN AGRONÓMICA Y GENÉTICA: EFECTO DE LA FERTILIZACIÓN FOLIAR CON ZINC EN CLONES SELECTOS DE PAPA,Universidad Nacional Agraria La Molina,UNALM,Lima,Perú,E3,D19_A-TT2,NO,SI,SI,HHY,50,0.75,15
82,Juan Daniel,Villacis Fajardo,FERTILIDAD NATURAL EN LA PROFUNDIDAD DE LOS SUELOS ALUVIALES DE LA CUENCA DEL RÍO AMAZONAS,Universidad Nacional Autónoma de Alto Amazonas,UNAAA,Loreto,Perú,E3,D19_A-TT2,NO,NO,SI,HHY,50,0.85,11
83,Edgardo,Alaluna Gutierrez,"PRODUCCIÓN Y CALIDAD DE CEBOLLA AMARILLA (Allium cepa L.) CON DOS PROGRAMAS DE FERTIRRIEGO EN SUELO SALINO SÓDICO DE ICA, PERÚ",Molinos S.A.,Molinos,Lima,Perú,E3,D19_A-TT2,NO,SI,SI,HHY,50,0.89,
84,Cirilo Mario,Caira Mamani,"ANTOCIANINAS, NUTRIENTES, DENSIDAD ESTOMÁTICA Y RENDIMIENTO DE LECHUGA MORADA (Lactuca sativa L.) FERTILIZADA CON COMPOST DE TIERRA DECOLORANTE.",Universidad Nacional de Jaén,UNJ,Cajamarca,Perú,E3,D19_A-TT2,NO,SI,SI,HHY,50,0.87,
85,Antony,Chavez-Jalk,EVALUACIÓN DEL RENDIMIENTO DEL CULTIVO DE (Physalis peruviana L.) BAJO FERTILIZACIÓN ORGANOMINERAL EN LAS CONDICIONES EDAFOCLIMÁTICAS DE CHACHAPOYAS-AMAZONAS,Instituto Nacional de Innovación Agraria,INIA,Amazonas,Perú,E3,D19_B-TT2,NO,SI,SI,JSCH,50,0.76,
86,Marialy,Valencia Barzola,"RECUPERACIÓN APARENTE DE ZINC EN LA APLICACIÓN FOLIAR EN PAPA, EN LA MOLINA-PERÚ",Universidad Nacional Agraria La Molina,UNALM,Lima,Perú,E3,D19_B-TT2,NO,SI,SI,JSCH,50,0.66,
87,Guilherme,Lopes,FERTILIZACIÓN CON SELENIO PARA BIOFORTIFICAR E INCREMENTAR LA RESILIENCIA EN CULTIVOS DE GRANOS BAJO DÉFICIT HÍDRICO EN BRASIL,Universidad Federal de Lavras.,UFLA,Minas Gerais,Brasil,E3,D19_B-TT2,NO,NO,SI,JSCH,50,0.85,
88,Johan,Rivas,VALORIZACIÓN DE RESIDUOS DE CAÑA DE AZÚCAR COMO BIOINSUMO PARA EL CULTIVO SOSTENIBLE DE Cucurbita moschata EN PERÚ,Instituto Nacional de Innovación Agraria,INIA,Lambayeque,Perú,E3,D19_B-TT2,NO,SI,SI,JSCH,50,0.62,
89,Sharon Yahaira,Mejia Maita,DEGRADACIÓN DE FERTILIDAD DEL SUELO EN LA COSTA ÁRIDA DEL PERÚ: MODELAMIENTO ESPACIAL DE LA FERTILIDAD DE LOS SUELOS DE MOQUEGUA,Instituto Nacional de Innovación Agraria,INIA,Lima,Perú,E3,D19_B-TT2,NO,SI,SI,JSCH,50,0.77,
90,Henry Hoseph,Morocho Romero,EFECTO DE EXTRACTOS NATURALES COMO BIOESTIMULANTES EN LA BROTACIÓN Y ENRAIZAMIENTO DE ESQUEJES DE Acalypha wilkesiana EN PIURA,Universidad Nacional de Piura,UNP,Piura,Perú,E3,D19_B-TT2,NO,SI,SI,JSCH,50,0.55,
91,Henry Hoseph,Morocho Romero,"EFECTO DE BIOESTIMULANTES NATURALES EN LA GERMINACIÓN Y DESARROLLO INICIAL DE GIRASOL (Helianthus annuus L.) EN PIURA, PERÚ ",Universidad Nacional de Piura,UNP,Piura,Perú,E3,D19_B-TT2,NO,SI,SI,JCLM,50,0.68,
92,Luis Felipe,Bendezú Díaz,RESPUESTA DE LA APLICACIÓN COMBINADA DE ARCILLA BENTONITA Y MATERIA ORGÁNICA EN CEBOLLA (Allium cepa L.),Universidad Nacional San Luis Gonzaga,UNICA,Ica,Perú,E3,D19_B-TT2,NO,SI,SI,JCLM,50,0.85,11
